source_id,title,source_path,parsed_txt_path,text_length,parse_status
EXT-001,Nutrient requirements - soybean | Integrated Crop Management,knowledge_base\raw_sources\extension\iowa_soybean_fertilization.html,knowledge_base\parsed_text\EXT-001.txt,11411,ok
EXT-002,Soybean growth stages | UMN Extension,knowledge_base\raw_sources\extension\umn_soybean_growth_stages.html,knowledge_base\parsed_text\EXT-002.txt,4462,ok
FAO-001,Tobacco | Land & Water | Food and Agriculture Organization of the United Nations | Land & Water | Food and Agriculture Organization of the United Nations,knowledge_base\raw_sources\fao\fao_soybean_water_management.html,knowledge_base\parsed_text\FAO-001.txt,8466,ok
HLJ-001,2026年黑龙江省备春耕大豆生产技术指导意见_种植业信息_省农业农村厅,knowledge_base\raw_sources\hlj\2026_黑龙江备春耕大豆生产技术指导意见.html,knowledge_base\parsed_text\HLJ-001.txt,4553,ok
HLJ-002,关于印发《2025年黑龙江省主要粮食作物科学施肥技术指导意见》的通知_通知公告_省农业农村厅,knowledge_base\raw_sources\hlj\2025_黑龙江主要粮食作物科学施肥技术指导意见.html,knowledge_base\parsed_text\HLJ-002.txt,7727,ok
HLJ-003,关于印发《2026年黑龙江省农作物主要病虫草鼠害防控指导意见》的通知_黑农厅函_省农业农村厅,knowledge_base\raw_sources\hlj\2026_黑龙江农作物主要病虫草鼠害防控指导意见.html,knowledge_base\parsed_text\HLJ-003.txt,5865,ok
HLJ-004,2026年黑龙江省农作物主要病虫草鼠害防控指导意见（PDF附件）,knowledge_base/raw_sources/hlj/2026_黑龙江农作物主要病虫草鼠害防控指导意见.pdf,,0,image_scan_no_text_layer
HLJ-005,2025年黑龙江省农业主推技术,knowledge_base/raw_sources/hlj/2025_黑龙江农业主推技术.pdf,knowledge_base/parsed_text/HLJ-005.txt,197860,ok_partial_soybean_pages
HLJ-006,2025年黑龙江省农作物栽培技术模式汇编,knowledge_base/raw_sources/hlj/2025_黑龙江农作物栽培技术模式汇编.pdf,knowledge_base/parsed_text/HLJ-006.txt,169747,ok_partial_soybean_pages
HLJ-007,黑龙江省2025年科学施肥增效项目实施方案,knowledge_base/raw_sources/hlj/2025_黑龙江科学施肥增效项目实施方案.pdf,knowledge_base/parsed_text/HLJ-007.txt,15047,ok
MOA-001,大豆根瘤菌接种及配套施肥技术指导意见,knowledge_base\raw_sources\moa\大豆根瘤菌接种及配套施肥技术指导意见.html,knowledge_base\parsed_text\MOA-001.txt,4192,ok
MOA-002,农事指导,knowledge_base\raw_sources\moa\农事指导_索引页.html,knowledge_base\parsed_text\MOA-002.txt,3051,ok
